date,predicted_count
2025-03-21,106.80623174294061
2025-03-22,106.7611976630964
2025-03-23,106.7161635832522
2025-03-24,106.671129503408
2025-03-25,106.62609542356378
2025-03-26,106.58106134371958
2025-03-27,106.53602726387537
2025-03-28,106.49099318403117
2025-03-29,106.44595910418695
2025-03-30,106.40092502434275
2025-03-31,106.35589094449854
2025-04-01,106.31085686465434
2025-04-02,106.26582278481013
2025-04-03,106.22078870496593
2025-04-04,106.17575462512173
2025-04-05,106.13072054527751
2025-04-06,106.08568646543331
2025-04-07,106.0406523855891
2025-04-08,105.9956183057449
2025-04-09,105.95058422590068
2025-04-10,105.90555014605648
2025-04-11,105.86051606621227
2025-04-12,105.81548198636807
2025-04-13,105.77044790652386
2025-04-14,105.72541382667966
2025-04-15,105.68037974683546
2025-04-16,105.63534566699124
2025-04-17,105.59031158714704
2025-04-18,105.54527750730283
2025-04-19,105.50024342745863
